Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.39uF","C_0402_1005Metric",229.362000,-20.320000,-90.000000,top
"C2","0.39uF","C_0402_1005Metric",191.770000,-40.894000,90.000000,top
"C3","0.39uF","C_0402_1005Metric",237.744000,-43.281600,-90.000000,top
"C4","0.39uF","C_0402_1005Metric",237.236000,-62.230000,-90.000000,top
"C5","0.39uF","C_0402_1005Metric",191.008000,-62.738000,-90.000000,top
"C6","0.39uF","C_0402_1005Metric",220.850400,-79.908400,180.000000,top
"C7","0.39uF","C_0402_1005Metric",199.898000,-85.570000,90.000000,top
"C8","0.39uF","C_0402_1005Metric",200.152000,-20.828000,-90.000000,top
"D1","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",221.742000,-19.812000,0.000000,top
"D2","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",184.150000,-40.894000,90.000000,top
"D3","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",183.134000,-61.976000,90.000000,top
"D4","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",244.602000,-42.672000,-90.000000,top
"D5","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",207.264000,-85.598000,180.000000,top
"D6","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",220.827600,-86.055200,180.000000,top
"D7","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",245.008400,-61.315600,-90.000000,top
"D8","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",207.518000,-19.812000,0.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",240.030000,-32.258000,90.000000,top
"J2","Conn_01x19_Male","PinSocket_1x19_P2.54mm_Vertical",201.676000,-28.956000,0.000000,top
"J3","Conn_01x19_Male","PinSocket_1x19_P2.54mm_Vertical",226.942200,-28.949200,0.000000,top
"R1","330Î©","R_0402_1005Metric",196.342000,-37.084000,90.000000,top
